id,center,mass,dl,ll,type,displacement,shape_file,contps
678,"[0.03742981205584107, 0.016035147449278683]",3.3137216000000004e-08,"[0, 5.851369601280001e-07, 0]","[0, 0, 0]",mortar,"[9.693803681577336e-05, -1.763427238370736e-05, -0.03364651041087525]",element_678.json,[]
679,"[0.04792077948348267, 0.016535000424157505]",3.3137216000000004e-08,"[0, 5.851369601280001e-07, 0]","[0, 0, 0]",mortar,"[4.063819502011239e-05, -3.6870939619210114e-06, 0.04498712349373182]",element_679.json,[]
680,"[0.05809681048824084, 0.016606262493700296]",3.3137216000000004e-08,"[0, 5.851369601280001e-07, 0]","[0, 0, 0]",mortar,"[8.714515708080532e-05, 6.832342398293553e-05, 0.14020243364953758]",element_680.json,[]
681,"[0.07809181367536663, 0.0168276948059079]",3.3137216000000004e-08,"[0, 5.851369601280001e-07, 0]","[0, 0, 0]",mortar,"[0.00010247945612056374, 6.839341100332863e-05, 0.005421667012643775]",element_681.json,[]
682,"[0.08809948476044409, 0.016941843509864798]",3.3137216000000004e-08,"[0, 5.851369601280001e-07, 0]","[0, 0, 0]",mortar,"[0.00011028413742650612, 7.911214761493607e-05, 0.0032819094197529615]",element_682.json,[]
683,"[0.09807616622873543, 0.017062537947439622]",3.3137216000000004e-08,"[0, 5.851369601280001e-07, 0]","[0, 0, 0]",mortar,"[0.00010299253702490396, 9.922291591193196e-05, -0.0023356758268432793]",element_683.json,[]
684,"[0.07778096350056933, 0.016528763022033245]",3.786902e-08,"[0, 6.6869115516e-07, 0]","[0, 0, 0]",mortar,"[0.00010361559629196069, 7.04813597813126e-05, -0.0012141851128617083]",element_684.json,[]
685,"[0.08778784958996337, 0.016641390824622137]",3.786902e-08,"[0, 6.6869115516e-07, 0]","[0, 0, 0]",mortar,"[0.00010698870285369555, 7.999659599323261e-05, 0.009798680586241199]",element_685.json,[]
686,"[0.09777065734125581, 0.01676639002977305]",3.786902e-08,"[0, 6.6869115516e-07, 0]","[0, 0, 0]",mortar,"[0.00010380527491325161, 9.852887681899179e-05, -0.0026321911654612513]",element_686.json,[]
687,"[0.03718445576706025, 0.015674030840771062]",3.786902e-08,"[0, 6.6869115516e-07, 0]","[0, 0, 0]",mortar,"[0.00010917351544440185, -2.5855193775878602e-05, -0.03386293565503149]",element_687.json,[]
688,"[0.047552372416367186, 0.016197335345463783]",3.786902e-08,"[0, 6.6869115516e-07, 0]","[0, 0, 0]",mortar,"[3.7739964649616655e-05, 1.3963024552885707e-05, 0.016722718994505382]",element_688.json,[]
689,"[0.05767266985802908, 0.016329864809915783]",3.786902e-08,"[0, 6.6869115516e-07, 0]","[0, 0, 0]",mortar,"[4.7140040050417145e-05, 5.606276407498444e-05, 0.03833546652041543]",element_689.json,[]
690,"[0.06778083703780509, 0.016409541561644595]",3.786902e-08,"[0, 6.6869115516e-07, 0]","[0, 0, 0]",mortar,"[0.00010359574528483406, 5.6421790988646754e-05, -0.0018000998593948273]",element_690.json,[]
691,"[0.017628544017894706, 0.01582776445767178]",3.3137216000000004e-08,"[0, 5.851369601280001e-07, 0]","[0, 0, 0]",mortar,"[0.00017991585034721208, -3.82772452917648e-05, 0.0402488149852758]",element_691.json,[]
692,"[0.027381369235023774, 0.01596020547188393]",3.3137216000000004e-08,"[0, 5.851369601280001e-07, 0]","[0, 0, 0]",mortar,"[0.00010995140367085535, -6.865404292310825e-06, -0.005795666961546806]",element_692.json,[]
693,"[0.0075707804482298535, 0.01569747000375664]",3.3137216000000004e-08,"[0, 5.851369601280001e-07, 0]","[0, 0, 0]",mortar,"[0.0001441153971196246, -4.501749773455133e-05, -0.023282839444966678]",element_693.json,[]
694,"[0.00729586863680988, 0.015352023516615229]",3.786902e-08,"[0, 6.6869115516e-07, 0]","[0, 0, 0]",mortar,"[0.00014554369715076668, -5.0565483743578467e-05, -0.008425334700052276]",element_694.json,[]
695,"[0.017335039618220992, 0.015470533642924693]",3.786902e-08,"[0, 6.6869115516e-07, 0]","[0, 0, 0]",mortar,"[0.00017282649620593187, -2.0752423977410987e-05, 0.040248814986300306]",element_695.json,[]
